txn_id,user_id,amount,txn_type,location,device_type,timestamp,is_fraud
9e58e254-1e9a-4d28-8c14-a2c9668cc6ec,user_123,35506.58,domestic,UK,mobile,2024-01-22T18:01:00,1
527a67c9-4b2d-43e5-882a-527f7e8c26ed,user_107,37401.32,domestic,CA,web,2024-01-24T00:03:00,1
b989dc2f-e9ca-4008-aa9c-74744dc54424,user_156,22480.95,international,UK,web,2024-01-11T12:18:00,1
34533440-eb27-46ab-b88c-411700186a2d,user_12,27878.79,international,IN,web,2024-01-11T19:51:00,1
6219c46a-2451-4aa0-8c91-93863acc9c27,user_105,33611.77,domestic,US,mobile,2024-02-11T23:48:00,1
71cc661f-8ca0-4b4b-ac52-230c3a97e3ea,user_106,19179.02,international,IN,web,2024-03-09T07:52:00,1
26e56632-4790-4647-8c47-47ff7f71ddb3,user_107,45029.65,international,UK,atm,2024-02-08T16:54:00,1
aa7890a0-2831-46fb-8245-ce7c05c1fae9,user_104,45551.12,international,IN,atm,2024-01-08T00:11:00,1
56052d45-3b31-48ed-9941-b5f961030dfb,user_131,23517.11,domestic,UK,atm,2024-02-26T13:40:00,1
6623c40f-4416-4874-b03a-de65f06ca7b3,user_161,4282.64,domestic,UK,mobile,2024-02-19T18:08:00,1
9598775c-d9e2-4c5a-b73e-80d152c2a54f,user_122,29660.56,international,AU,mobile,2024-02-04T07:27:00,1
4b09ffed-9fbb-4843-9511-e25adccd6288,user_46,38264.83,international,UK,web,2024-01-13T14:32:00,1
83615bd6-17c1-4a74-8a5d-37c9c6f08a92,user_50,49786.76,domestic,US,atm,2024-02-21T14:53:00,1
fb03b697-dec2-4016-b4d8-5b4bf2b0aae2,user_132,30989.27,domestic,UK,atm,2024-02-07T17:36:00,1
3aedc42e-2820-4e64-a4a6-d5701dfe911f,user_180,45901.76,international,AU,web,2024-03-02T11:46:00,1
b409c876-46a1-4fb5-a112-4c5d5fe593ee,user_107,44483.93,domestic,AU,mobile,2024-01-15T00:55:00,1
2faee79b-3d78-4684-b3a5-fc65efcc1415,user_79,48556.07,international,IN,web,2024-02-06T20:32:00,1
51eced22-9a19-40f3-b75d-920c9a4912ae,user_147,36677.81,international,CA,web,2024-02-17T07:44:00,1
4e84ac05-5cc7-4fc2-8ac1-a26f21710e8d,user_155,49858.58,international,IN,atm,2024-01-26T23:37:00,1
12eb97d4-b84c-4fe7-92dc-d82722a2629b,user_63,34952.81,international,US,mobile,2024-01-12T03:04:00,1
ac78890d-adc6-467f-9764-135c5a070d4e,user_56,47542.62,domestic,AU,web,2024-01-11T02:36:00,1
6995d456-2192-4e0d-85fa-6b29fa9acff8,user_150,28521.61,domestic,CA,mobile,2024-01-11T03:08:00,1
a4a2e22b-eb50-458e-9928-c5df4d62d3e7,user_28,39980.38,domestic,AU,mobile,2024-01-28T04:02:00,1
7b08c5a4-784e-4487-b509-081fdf625b77,user_19,42253.95,international,IN,web,2024-01-04T00:17:00,1
660836c6-ca03-4258-95d0-aff3f962d335,user_148,38000.09,domestic,IN,mobile,2024-02-18T17:52:00,1
